ID,Name,Sex,Height,Weight,Regions
103227,Sabine Rckauer (-Kurten),女,173.0,65.0,{'德国'}
103246,Yekaterina Ivanovna Rudakova-Bulavka,女,164.0,56.0,{'白俄罗斯'}
103255,"Kenneth David ""Ken"" Rudd",男,174.0,68.0,{'英国'}
103264,Vitaly Rudenchik,男,182.0,76.0,{'保加利亚'}
103270,Hans Rudhardt,男,178.0,78.0,{'德国'}
103271,Marko Rudi,男,184.0,82.0,{'波斯尼亚和黑塞哥维那'}
103275,Inra Rudko,女,168.0,54.0,{'拉脱维亚'}
103278,Michael Rudman,男,181.0,76.0,{'奥地利'}
103279,Shelley-Marie Rudman,女,171.0,55.0,{'英国'}
103292,Ferdinand Louis Rudolph,男,NAN,NAN,{'比利时'}
103296,Susanne Rudolph,女,168.0,56.0,{'德国'}
103297,Thomas Rudolph,男,178.0,72.0,{'德国'}
103299,"Edward John ""Eddie"" Rudolph, Jr.",男,186.0,82.0,{'美国'}
103304,Yuriy Rudyk,男,186.0,85.0,{'乌克兰'}
103316,Andreas Redi,男,NAN,NAN,{'瑞士'}
103317,Beat Redi,男,NAN,NAN,{'瑞士'}
103318,Luzius Redi,男,NAN,NAN,{'瑞士'}
103320,Ivo Regg,男,184.0,99.0,{'瑞士'}
103321,Max Regg,男,182.0,78.0,{'瑞士'}
103323,Yvonne Regg (-Siorpaes),女,NAN,NAN,{'瑞士'}
103346,"John W. ""Johnny"" Ruger, II",男,175.0,64.0,{'美国'}
103351,Angela Marie Ruggiero,女,175.0,86.0,{'美国'}
103352,Mirco Ruggiero,男,184.0,80.0,{'意大利'}
103364,Laura Ruhnke,女,172.0,74.0,{'瑞士'}
103366,Petra Ruhrmann,女,165.0,51.0,{'德国'}
103367,"Ute Rhrold (-Bhme, -Klawonn)",女,175.0,69.0,{'德国'}
103377,Jorma Valter Ruissalo,男,179.0,74.0,{'芬兰'}
103384,Carolina Vernica Ruiz Castillo,女,165.0,63.0,{'西班牙'}
103388,Diego Ruiz Asn,男,176.0,64.0,{'西班牙'}
103439,Enni Eriika  Rukajrvi,女,165.0,54.0,{'芬兰'}
103444,Christoffer Fagerli Rukke,男,190.0,89.0,{'挪威'}
103455,Mrcis Rullis,男,187.0,98.0,{'拉脱维亚'}
103457,Alberts Rumba,男,NAN,NAN,{'拉脱维亚'}
103464,Courtney Orville Rumbolt,男,185.0,104.0,{'英国'}
103466,Vitalijus Rumiancevas,男,178.0,70.0,{'立陶宛'}
103474,Jrgen Rumrich,男,181.0,85.0,{'德国'}
103475,Michael Rumrich,男,178.0,83.0,{'德国'}
103478,Aleksandr Vladimirovich Rumyantsev,男,185.0,80.0,{'俄罗斯'}
103486,Danijela Kristina Rundqvist,女,178.0,75.0,{'瑞典'}
103488,Thomas Per Rundqvist,男,192.0,87.0,{'瑞典'}
103495,Alexia Runggaldier,女,171.0,58.0,{'意大利'}
103496,Alfred Runggaldier,男,165.0,60.0,{'意大利'}
103497,Elena Runggaldier,女,163.0,53.0,{'意大利'}
103498,Lukas Runggaldier,男,168.0,54.0,{'意大利'}
103499,Peter Runggaldier,男,172.0,78.0,{'意大利'}
103514,Eeva Ruoppa (Saarainen-),女,162.0,54.0,{'芬兰'}
103515,Arto Sakari Ruotanen,男,181.0,84.0,{'芬兰'}
103517,Ilona Ruotsalainen,女,168.0,63.0,{'芬兰'}
103518,Kari Eemil Juhani Ruotsalainen,男,172.0,64.5,{'芬兰'}
103519,Reijo Juhani Ruotsalainen,男,173.0,79.0,{'芬兰'}
103522,Glenn Richard Rupertus,男,172.0,68.0,{'加拿大'}
103523,Giampaolo Rupil,男,NAN,NAN,{'意大利'}
103524,Silvia Rupil,女,174.0,57.0,{'意大利'}
103527,Vasja Rupnik,男,189.0,85.0,{'斯洛文尼亚'}
103529,"Patrick Lloyd ""Pat"" Rupp",男,175.0,81.0,{'美国'}
103533,"Louis Edmund Ferdinand ""Sonny"" Rupprecht",男,NAN,NAN,{'美国'}
